,0
0,0.007
1,0.007
2,0.007
3,0.007
4,0.007
5,0.007
6,0.007
7,0.007
8,0.007
9,0.007
10,0.007
11,0.007
12,0.007
13,0.007
14,0.007
15,0.007
16,0.007
17,0.007
18,0.007
19,0.007
20,0.007
21,0.007
22,0.007
23,0.007
24,0.007
25,0.007
26,0.007
27,0.007
28,0.007
29,0.007
30,0.007
31,0.007
32,0.007
33,5.006
34,5.006
35,5.006
36,5.006
37,5.006
38,5.006
39,5.006
40,5.006
41,5.006
42,5.006
43,5.006
44,5.006
45,5.006
46,5.006
47,5.006
48,5.006
49,5.006
50,5.006
51,5.006
52,5.006
53,5.006
54,5.006
55,5.006
56,5.006
57,5.006
58,5.006
59,5.006
60,5.006
61,5.006
62,5.006
63,5.006
64,5.006
65,5.006
66,5.006
67,12.005
68,12.005
69,12.005
70,12.005
71,12.005
72,12.005
73,12.005
74,12.005
75,12.005
76,12.005
77,12.005
78,12.005
79,12.005
80,12.005
81,12.005
82,12.005
83,12.005
84,12.005
85,12.005
86,12.005
87,12.005
88,12.005
89,12.005
90,12.005
91,12.005
92,12.005
93,12.005
94,12.005
95,12.005
96,12.005
97,12.005
98,12.005
99,12.005
100,12.005
101,12.005
102,12.005
103,12.005
104,12.005
105,12.005
106,12.005
107,12.005
108,12.005
109,12.005
110,12.005
111,12.005
112,12.005
113,12.005
114,12.005
115,12.005
116,12.005
117,12.005
118,12.005
119,12.005
120,12.005
121,12.005
122,12.005
123,12.005
124,17.005
125,17.005
126,17.005
127,17.006
128,17.006
129,17.006
130,17.006
131,17.006
132,17.006
133,17.006
134,17.006
135,17.006
136,17.006
137,17.006
138,17.006
139,17.006
140,17.006
141,17.006
142,17.006
143,17.006
144,17.006
145,17.006
146,17.006
147,17.006
148,17.006
149,17.006
150,17.006
151,17.006
152,17.006
153,17.006
154,17.006
155,17.006
156,17.006
157,17.006
158,17.006
159,17.006
160,17.006
161,17.006
162,17.006
163,17.006
164,17.006
165,17.006
166,17.006
167,17.007
168,17.007
169,17.007
170,17.007
171,17.007
172,17.007
173,17.007
174,17.007
175,17.007
176,22.006
177,22.006
178,22.006
179,22.006
180,22.006
181,22.006
182,22.006
183,27.005
184,27.005
185,27.005
186,27.005
187,27.005
188,27.005
189,22.006
190,22.006
191,22.006
192,22.006
193,22.006
194,22.006
195,22.006
196,22.006
197,22.006
198,22.006
199,22.006
200,22.006
201,22.006
202,22.006
203,29.005
204,29.005
205,29.005
206,29.005
207,29.005
208,29.005
209,29.005
210,29.005
211,29.005
212,29.005
213,29.005
214,29.005
215,29.005
216,36.004000000000005
217,36.004000000000005
218,36.004000000000005
219,36.004000000000005
220,36.004000000000005
221,36.004000000000005
222,36.004000000000005
223,36.004000000000005
224,36.004000000000005
225,36.004000000000005
226,36.004000000000005
227,36.004000000000005
228,36.004000000000005
229,36.004000000000005
230,36.004000000000005
231,43.003
232,43.003
233,43.003
234,43.003
235,43.003
236,48.002
237,41.003
238,41.003
239,41.003
240,41.003
241,41.003
242,41.003
243,41.003
244,41.003
245,41.003
246,41.003
247,41.003
248,41.003
249,41.003
250,41.003
251,41.003
252,41.003
253,41.003
254,41.003
255,41.003
256,41.003
257,41.003
258,41.003
259,41.003
260,41.003
261,41.003
262,34.004000000000005
263,34.004000000000005
264,34.004000000000005
265,34.004000000000005
266,34.004000000000005
267,34.004000000000005
268,34.004000000000005
269,34.004000000000005
270,34.004000000000005
271,34.004000000000005
