,0
0,0.006
1,0.006
2,0.006
3,0.006
4,0.006
5,0.006
6,0.006
7,0.006
8,0.006
9,0.006
10,0.006
11,0.006
12,0.006
13,0.006
14,0.006
15,0.006
16,0.006
17,0.006
18,0.006
19,0.006
20,0.006
21,0.006
22,0.006
23,0.006
24,0.006
25,0.006
26,0.006
27,0.006
28,0.006
29,0.006
30,0.007
31,0.007
32,0.007
33,5.006
34,5.006
35,5.006
36,5.006
37,5.006
38,5.006
39,5.006
40,5.006
41,5.006
42,5.006
43,5.006
44,5.006
45,5.006
46,5.006
47,5.006
48,5.006
49,5.006
50,5.006
51,5.006
52,5.006
53,5.006
54,5.006
55,5.006
56,5.006
57,5.006
58,5.006
59,5.006
60,5.006
61,5.006
62,5.006
63,5.006
64,5.006
65,5.006
66,5.006
67,5.006
68,5.006
69,5.006
70,5.006
71,10.005
72,10.005
73,10.005
74,10.005
75,10.005
76,10.005
77,10.005
78,10.005
79,10.005
80,10.005
81,10.005
82,10.005
83,10.005
84,10.005
85,10.005
86,10.005
87,10.005
88,10.005
89,10.005
90,10.005
91,17.004
92,17.004
93,17.004
94,17.004
95,17.004
96,17.004
97,17.004
98,10.005
99,10.005
100,10.005
101,10.005
102,10.005
103,10.005
104,10.005
105,10.005
106,10.005
107,24.004
108,24.005000000000003
109,24.005000000000003
110,24.005000000000003
111,24.005000000000003
112,24.005000000000003
113,24.005000000000003
114,24.005000000000003
115,24.005000000000003
116,24.005000000000003
117,24.005000000000003
118,24.005000000000003
119,24.005000000000003
120,24.005000000000003
121,24.005000000000003
122,24.005000000000003
123,24.005000000000003
124,24.005000000000003
125,24.005000000000003
126,24.005000000000003
127,24.005000000000003
128,24.005000000000003
129,24.005000000000003
130,24.005000000000003
131,24.005000000000003
132,24.005000000000003
133,24.005000000000003
134,24.005000000000003
135,24.005000000000003
136,24.005000000000003
137,24.005000000000003
138,24.005000000000003
139,24.005000000000003
140,24.005000000000003
141,24.005000000000003
142,24.005000000000003
143,24.006
144,24.006
145,24.006
146,24.006
147,24.006
148,24.006
149,24.006
150,24.006
151,24.006
152,24.006
153,24.006
154,24.006
155,24.006
156,24.006
157,24.006
158,24.006
159,24.006999999999998
160,24.006999999999998
161,24.006999999999998
162,24.006999999999998
163,24.006999999999998
164,31.006
165,31.006
166,31.006
167,31.006
168,31.006
169,31.006
170,31.006
171,31.006
172,31.006
173,31.006
174,31.006
175,31.006
176,31.006
177,31.006
178,26.007
179,26.007
180,26.007
181,26.007
182,26.007
183,26.007
184,26.007
185,26.007
186,26.007
187,26.007
188,26.007
189,26.007
190,26.007
191,26.007
192,26.007
193,26.007
194,26.007
195,26.007
196,26.007
197,26.007
198,26.007
199,26.007
200,26.007
201,26.007
202,26.007
203,12.008000000000003
204,12.008000000000003
205,12.008000000000003
