,0
0,0.006
1,0.006
2,0.006
3,0.006
4,0.006
5,0.006
6,0.006
7,0.006
8,0.006
9,0.006
10,0.006
11,0.006
12,0.006
13,0.006
14,5.005
15,5.005
16,5.005
17,10.004000000000001
18,10.004000000000001
19,10.004000000000001
20,10.004000000000001
21,10.004000000000001
22,10.004000000000001
23,5.005000000000001
24,5.005000000000001
25,5.006000000000001
26,5.006000000000001
27,5.006000000000001
28,5.006000000000001
29,5.006000000000001
30,5.006000000000001
31,5.006000000000001
32,5.006000000000001
33,5.006000000000001
34,5.006000000000001
35,5.006000000000001
36,5.006000000000001
37,5.006000000000001
38,5.006000000000001
39,5.006000000000001
40,5.006000000000001
41,5.006000000000001
42,5.006000000000001
43,5.006000000000001
44,5.006000000000001
45,5.006000000000001
46,5.006000000000001
47,5.006000000000001
48,0.007
49,0.007
50,0.007
51,0.007
52,0.007
53,0.008
54,0.008
55,0.008
56,0.008
57,0.008
58,0.008
59,0.008
60,0.008
61,0.008
62,0.008
63,0.008
64,0.008
65,5.007
66,5.007
67,5.007
68,5.007
69,5.007
70,5.007
71,5.007
72,5.007
73,5.007
74,5.007
75,5.007
76,5.007
77,5.007
78,5.007
79,5.007
80,5.007
81,5.007
82,5.007
83,5.007
84,5.007
85,5.007
86,5.007
87,5.007
88,5.007
89,5.007
90,5.007
91,5.007
92,5.007
93,5.007
94,5.007
95,5.007
96,5.007
97,5.007
98,5.007
99,5.007
100,5.007
101,5.007
102,5.007
103,5.007
104,5.007
105,5.007
106,5.007
107,5.007
108,5.007
109,5.007
110,5.007
111,5.007
112,5.007
113,5.007
114,5.007
115,5.007
116,5.007
117,5.007
118,5.007
119,5.007
120,5.007
121,5.007
122,5.007
123,5.007
124,5.007
125,5.007
126,5.007
127,5.007
128,5.007
129,5.007
130,5.007
131,5.007
132,5.007999999999999
133,5.007999999999999
134,5.007999999999999
135,5.007999999999999
136,5.007999999999999
137,5.007999999999999
138,5.007999999999999
139,5.007999999999999
140,5.007999999999999
141,5.007999999999999
142,10.007000000000001
143,10.007000000000001
144,10.007000000000001
145,10.007000000000001
146,10.007000000000001
147,10.007000000000001
148,10.007000000000001
149,10.008000000000003
150,15.007000000000001
151,15.007000000000001
152,15.007000000000001
153,15.007000000000001
154,15.007000000000001
155,15.007000000000001
156,15.007000000000001
157,15.007000000000001
158,15.007000000000001
159,15.007000000000001
160,15.007000000000001
161,15.007000000000001
162,15.007000000000001
163,15.007000000000001
164,15.007000000000001
165,15.007000000000001
166,15.007000000000001
167,15.007000000000001
168,15.007000000000001
169,29.006000000000004
170,29.006000000000004
171,29.006000000000004
172,29.006000000000004
173,24.007
174,24.007
175,24.007
176,24.007
177,24.007
178,24.007
179,24.007
180,24.007
181,24.007
182,24.007
183,24.007
184,24.007
185,24.007
