,0
0,0.004
1,0.004
2,0.004
3,0.004
4,0.004
5,0.004
6,0.004
7,0.004
8,0.004
9,5.003
10,5.003
11,5.003
12,5.003
13,5.003
14,5.003
15,5.003
16,5.003
17,5.003
18,5.003
19,5.003
20,5.003
21,5.003
22,5.003
23,205.002
24,205.002
25,205.002
26,205.002
27,205.002
28,205.002
29,400.002
30,400.002
31,400.002
32,400.002
33,205.002
34,205.002
35,205.002
36,205.002
37,205.002
38,205.002
39,10.002
40,10.002
41,10.002
42,10.002
43,10.002
44,10.002
45,10.002
46,10.002
47,10.002
48,10.002
49,10.002
50,10.002
51,10.002
52,10.002
53,205.002
54,205.002
55,205.002
56,5.003
57,5.003
58,5.003
59,200.00300000000001
60,205.002
61,205.002
62,205.002
63,205.002
64,205.002
65,205.002
66,205.002
67,205.002
68,205.002
69,10.002
70,10.002
71,10.002
72,10.002
73,10.002
74,10.002
75,205.002
76,205.002
77,205.002
78,205.002
79,205.002
80,205.002
81,205.002
82,205.002
83,205.002
84,205.002
85,205.002
86,205.002
87,205.002
88,205.002
89,205.002
90,10.002
91,205.002
92,205.002
93,205.00300000000001
94,205.00300000000001
95,205.00300000000001
96,205.00300000000001
97,205.00300000000001
98,205.00300000000001
99,205.00300000000001
100,205.00300000000001
101,10.003
102,5.004
103,5.004
104,5.004
105,200.00400000000002
106,200.00400000000002
107,205.00300000000001
108,205.00300000000001
109,205.00300000000001
110,205.00300000000001
111,205.00300000000001
112,205.00300000000001
113,205.00300000000001
114,205.00300000000001
115,205.00300000000001
116,226.002
117,226.002
118,226.002
119,226.002
120,31.002000000000002
121,31.002000000000002
122,31.002000000000002
123,31.002000000000002
124,31.002000000000002
125,31.002000000000002
126,31.003
127,226.00300000000001
128,226.00300000000001
129,226.00300000000001
130,226.00300000000001
131,226.00300000000001
132,226.00300000000001
133,226.00300000000001
134,231.002
135,426.002
136,426.002
137,231.002
138,231.002
139,231.002
140,231.002
141,231.002
142,231.002
143,226.00300000000001
144,226.00300000000001
145,231.002
146,231.002
147,231.002
148,231.002
149,231.002
150,36.002
151,36.002
152,36.002
153,36.002
154,36.002
155,36.002
156,36.002
157,36.002
158,36.002
159,36.002
160,36.002
161,36.002
162,36.002
163,36.002
164,36.002
165,426.002
166,426.002
167,426.002
168,426.002
169,426.002
170,426.002
171,426.002
172,426.002
173,426.002
174,426.002
175,231.002
176,226.00300000000001
177,226.00300000000001
178,226.00300000000001
179,226.00300000000001
180,31.003
181,31.003
182,31.003
183,31.003
184,31.003
185,38.002
186,38.002
187,38.002
188,38.002
189,38.002
190,38.002
191,38.002
192,38.002
193,38.002
194,38.002
195,233.002
196,233.002
197,233.002
198,233.002
199,233.002
200,433.001
201,433.001
202,433.001
203,433.001
204,433.001
205,433.001
206,433.001
207,433.001
208,433.001
209,433.001
210,238.001
211,238.001
212,238.001
213,238.001
214,238.001
215,43.001000000000005
216,43.001000000000005
217,43.001000000000005
218,43.001000000000005
219,43.001000000000005
220,43.001000000000005
221,43.001000000000005
222,43.001000000000005
223,43.001000000000005
224,43.001000000000005
225,238.001
226,238.001
227,238.001
228,238.001
229,238.001
230,433.001
231,433.001
232,433.001
233,433.001
234,433.001
235,433.001
236,433.001
237,433.001
238,433.001
239,433.001
240,238.001
241,238.001
242,238.001
243,238.001
244,238.001
245,43.001000000000005
246,43.001000000000005
247,43.001000000000005
248,43.001000000000005
249,38.002
250,38.002
251,38.002
252,38.002
253,38.002
254,38.002
255,233.002
256,233.002
257,233.002
258,238.001
259,238.001
260,433.001
261,433.001
262,433.001
263,433.001
264,433.001
265,433.001
266,433.001
267,433.001
268,433.001
269,433.001
270,238.001
271,238.001
272,238.001
273,238.001
274,238.001
275,43.001000000000005
276,43.001000000000005
277,43.001000000000005
