,0
0,0.003
1,0.003
2,0.003
3,0.003
4,0.003
5,0.003
6,0.003
7,0.004
8,0.004
9,0.004
10,0.004
11,5.003
12,5.003
13,5.003
14,5.003
15,5.003
16,5.003
17,5.003
18,5.003
19,5.003
20,5.003
21,5.003
22,5.003
23,5.003
24,205.002
25,205.002
26,205.002
27,205.002
28,205.002
29,205.002
30,205.002
31,400.002
32,400.002
33,400.002
34,205.002
35,205.002
36,205.002
37,205.002
38,205.002
39,205.002
40,205.002
41,10.001999999999999
42,10.001999999999999
43,10.001999999999999
44,10.001999999999999
45,10.003
46,10.003
47,10.003
48,10.003
49,31.002
50,31.002
51,31.002
52,31.002
53,31.002
54,226.002
55,226.002
56,226.002
57,226.002
58,226.002
59,26.003
60,26.003
61,221.00300000000001
62,221.00300000000001
63,221.00300000000001
64,21.004
65,21.004
66,21.004
67,21.004
68,221.003
69,221.003
70,221.003
71,221.003
72,226.00300000000001
73,226.00300000000001
74,226.00300000000001
75,226.00300000000001
76,226.00300000000001
77,226.00300000000001
78,31.003
79,31.003
80,31.003
81,31.003
82,31.003
83,31.003
84,31.003
85,31.003
86,31.003
87,31.003
88,31.003
89,31.003
90,31.003
91,31.003
92,226.00300000000001
93,226.00300000000001
94,226.00300000000001
95,226.00300000000001
96,226.00300000000001
97,226.00300000000001
98,421.00300000000004
99,421.00300000000004
100,421.00300000000004
101,421.00300000000004
102,226.00300000000001
103,226.00300000000001
104,226.00300000000001
105,226.00300000000001
106,226.00300000000001
107,226.00300000000001
108,31.003
109,31.003
110,31.003
111,31.003
112,31.003
113,31.003
114,31.003
115,31.003
116,31.003
117,31.003
118,52.002
119,52.002
120,52.002
121,52.002
122,247.002
123,247.002
124,247.002
125,247.002
126,247.002
127,247.002
128,442.002
129,442.002
130,442.002
131,442.002
132,247.002
133,247.002
134,247.002
135,247.002
136,247.002
137,247.002
138,52.002
139,52.002
140,52.002
141,52.002
142,52.002
143,52.002
144,52.002
145,52.002
146,52.002
147,52.002
148,52.002
149,57.001000000000005
150,57.001000000000005
151,57.001000000000005
152,252.001
153,247.002
154,247.002
155,247.002
156,247.002
157,247.002
158,247.002
159,247.002
160,247.002
161,247.002
162,52.002
163,52.002
164,52.002
165,47.003
166,47.003
167,47.003
168,47.003
169,47.003
170,47.003
171,47.003
172,47.003
173,47.003
174,47.003
175,247.002
176,247.002
177,247.002
178,247.002
179,247.002
180,247.002
181,247.002
182,247.002
183,247.002
184,247.002
185,52.002
186,52.002
187,52.002
188,52.002
189,52.002
190,52.002
191,52.002
192,52.002
193,57.001000000000005
194,57.001000000000005
195,57.001000000000005
196,57.001000000000005
197,57.001000000000005
198,57.001000000000005
199,57.001000000000005
200,57.001000000000005
201,57.001000000000005
202,57.001000000000005
203,57.001000000000005
204,57.001000000000005
205,252.001
206,252.001
207,252.001
208,252.001
209,52.002
210,52.002
211,52.002
212,52.002
213,247.002
214,247.002
215,247.002
216,247.002
217,247.002
218,247.002
219,247.002
220,247.002
221,247.002
222,447.001
223,231.002
224,231.002
225,231.002
226,231.002
227,231.002
228,231.002
229,231.002
230,231.002
231,231.002
232,231.002
233,231.002
234,231.002
235,231.002
236,231.002
237,36.002
238,36.002
239,36.002
240,36.002
241,36.002
242,36.002
243,231.002
244,231.002
245,231.002
246,31.003
247,31.003
248,31.003
249,31.003
250,31.003
251,31.003
252,226.00300000000001
253,226.00300000000001
254,231.002
255,231.002
256,231.002
257,231.002
258,231.002
259,231.002
260,231.002
261,231.002
262,231.002
263,231.002
264,231.002
265,231.002
266,231.002
267,36.002
268,36.002
269,231.002
270,231.002
271,231.002
272,231.002
273,231.002
274,231.002
275,231.002
276,231.002
277,231.002
278,231.002
279,231.002
280,231.002
281,231.002
282,426.002
283,426.002
284,231.002
285,231.002
286,231.002
287,231.002
288,231.002
289,231.002
290,231.002
291,231.002
292,231.002
293,231.002
294,231.002
295,231.002
296,231.002
297,36.002
298,36.002
299,231.002
300,231.002
301,231.002
302,231.002
303,231.002
304,231.002
305,231.002
306,231.002
307,231.002
308,231.002
309,26.004
310,26.004
311,26.004
312,5.005000000000001
313,5.005000000000001
314,5.005000000000001
315,5.005000000000001
316,5.005000000000001
317,5.005000000000001
318,10.004000000000001
319,10.004000000000001
320,10.004000000000001
321,10.004000000000001
322,10.004000000000001
323,10.004000000000001
324,10.004000000000001
325,10.004000000000001
326,10.004000000000001
327,10.004000000000001
328,10.004000000000001
329,10.004000000000001
330,10.004000000000001
331,10.004000000000001
332,10.004000000000001
333,205.004
334,205.004
335,205.004
336,205.004
337,205.00300000000001
338,405.002
339,405.002
340,405.002
341,405.002
342,405.002
343,405.002
344,405.002
345,405.002
346,405.002
347,405.002
348,210.002
349,210.002
350,210.002
351,210.00300000000001
352,210.00300000000001
353,10.004000000000001
354,10.004000000000001
355,10.004000000000001
356,15.003
357,15.003
358,15.003
359,15.003
360,15.003
361,15.003
362,15.003
363,15.003
364,15.003
365,10.004000000000001
366,10.004000000000001
367,10.004000000000001
368,205.00300000000001
369,205.00300000000001
370,205.00300000000001
371,400.00300000000004
372,400.00300000000004
373,400.00300000000004
374,400.00300000000004
375,400.00300000000004
376,400.00300000000004
377,400.00300000000004
378,400.00300000000004
379,400.00300000000004
380,400.00300000000004
381,400.00300000000004
382,400.00300000000004
383,205.00300000000001
384,205.00300000000001
385,205.00300000000001
386,10.003
387,10.003
388,5.004
389,5.004
390,5.004
391,5.004
392,5.004
393,5.004
394,5.004
395,5.004
396,5.004
397,5.004
398,5.004
399,5.004
400,0.005
401,0.005
402,0.005
403,0.005
404,0.005
405,200.004
406,200.004
407,200.004
408,200.004
409,200.004
410,200.004
411,200.004
412,200.004
413,200.004
414,200.004
415,200.004
416,200.004
417,200.004
418,200.004
419,200.004
420,5.0040000000000004
421,205.00300000000001
422,205.00300000000001
423,205.00300000000001
424,205.00300000000001
425,205.00300000000001
426,205.00300000000001
427,205.00300000000001
428,205.00300000000001
429,205.00300000000001
430,205.00300000000001
431,205.00300000000001
432,205.00300000000001
433,205.00300000000001
434,205.00300000000001
435,400.004
436,205.00400000000002
437,205.00400000000002
438,205.00400000000002
439,205.00400000000002
440,205.00400000000002
441,205.00400000000002
442,205.00400000000002
443,205.00400000000002
444,205.00400000000002
445,205.00400000000002
446,205.00400000000002
447,205.00400000000002
448,205.00400000000002
449,205.00400000000002
450,10.004
451,205.00400000000002
452,205.00400000000002
453,205.00400000000002
