,0
0,200.00300000000001
1,200.00300000000001
2,200.00300000000001
3,200.00300000000001
4,200.00300000000001
5,200.00300000000001
6,200.00300000000001
7,200.00300000000001
8,200.00300000000001
9,200.00300000000001
10,200.00300000000001
11,200.00300000000001
12,210.002
13,210.002
14,210.002
15,215.001
16,215.001
17,215.001
18,215.001
19,215.001
20,215.001
21,215.001
22,215.001
23,215.001
24,215.001
25,20.001
26,20.001
27,20.001
28,20.001
29,20.001
30,20.001
31,20.001
32,20.001
33,20.001
34,20.001
35,20.001
36,20.001
37,20.001
38,20.001
39,20.001
40,20.001
41,20.001
42,20.001
43,20.001
44,20.001
45,215.001
46,215.001
47,215.001
48,215.001
49,15.001999999999999
50,210.002
51,210.002
52,210.002
53,410.001
54,410.001
55,410.001
56,410.001
57,410.001
58,410.001
59,410.001
60,215.001
61,205.002
62,205.002
63,10.002
64,10.002
65,10.002
66,10.002
67,10.002
68,10.002
69,10.002
70,10.002
71,10.002
72,10.002
73,10.002
74,10.002
75,10.002
76,10.002
77,5.003
78,5.003
79,5.003
80,5.003
81,5.003
82,5.003
83,200.00300000000001
84,200.00300000000001
85,200.00300000000001
86,200.00300000000001
87,0.004
88,0.004
89,0.004
90,0.004
91,0.004
92,0.004
93,0.004
94,0.004
95,0.004
96,200.00300000000001
97,200.00300000000001
98,200.00300000000001
99,205.002
100,205.002
101,205.002
102,205.002
103,205.002
104,205.002
105,205.002
106,205.002
107,205.002
108,205.002
109,205.002
110,205.002
111,10.002
112,10.002
113,10.002
114,205.002
115,205.002
116,205.002
117,205.002
118,205.002
119,205.002
120,205.00300000000001
121,205.00300000000001
122,205.00300000000001
123,205.00300000000001
124,205.00300000000001
125,205.00300000000001
126,400.00300000000004
127,400.00300000000004
128,400.00300000000004
129,205.00300000000001
130,205.00300000000001
131,205.00300000000001
132,205.00300000000001
133,205.00300000000001
134,205.00300000000001
135,205.00300000000001
136,205.00300000000001
137,205.00300000000001
138,205.00300000000001
139,205.00300000000001
140,205.00300000000001
141,10.003
142,10.003
143,10.003
144,205.00300000000001
145,205.00300000000001
146,205.00300000000001
147,205.00300000000001
148,205.00300000000001
149,205.00300000000001
150,205.00300000000001
151,205.00300000000001
152,205.00300000000001
153,205.00300000000001
154,205.00300000000001
155,205.00300000000001
156,400.00300000000004
157,400.00300000000004
